,Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
0,41,1,1,1102,1,2,1,1,2,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,49,0,2,279,8,1,1,2,3,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,37,1,1,1373,2,2,1,4,4,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
3,33,0,2,1392,3,4,1,5,4,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,27,0,1,591,2,1,1,7,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5,32,0,2,1005,2,2,1,8,4,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6,59,0,1,1324,3,3,1,10,3,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
7,30,0,1,1358,24,1,1,11,4,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8,38,0,2,216,23,3,1,12,4,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
9,36,0,1,1299,27,3,1,13,3,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
10,35,0,1,809,16,3,1,14,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
11,29,0,1,153,15,2,1,15,4,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
12,31,0,1,670,26,1,1,16,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
13,34,0,1,1346,19,2,1,18,2,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
14,28,1,1,103,24,3,1,19,3,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
15,29,0,1,1389,21,4,1,20,2,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
16,32,0,1,334,5,2,1,21,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
17,22,0,0,1123,16,2,1,22,4,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
