@relation 'MainEncodedData-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,7-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,10-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,10-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Remove-R1,3-10,12-34,44'

@attribute Attrition {0,1}
@attribute PerformanceRating {3,4}
@attribute BusinessTravel {0,1,2}
@attribute Education {1,2,3,4,5}
@attribute EnvironmentSatisfaction {1,2,3,4}
@attribute JobInvolvement {1,2,3,4}
@attribute JobLevel {1,2,3,4,5}
@attribute JobSatisfaction {1,2,3,4}
@attribute NumCompaniesWorked {0,1,2,3,4,5,6,7,8,9}
@attribute OverTime {0,1}
@attribute RelationshipSatisfaction {1,2,3,4}
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear {0,1,2,3,4,5,6}
@attribute WorkLifeBalance {1,2,3,4}
@attribute YearsAtCompany numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute YearsInCurrentRole numeric

@data
1,3,1,2,2,3,2,4,8,1,1,8,0,1,6,0,5,4
0,4,2,1,3,2,2,2,1,0,4,10,3,3,10,1,7,7
1,3,1,2,4,2,1,3,6,1,2,7,3,3,0,0,0,0
0,3,2,4,4,3,1,3,1,1,3,8,3,3,8,3,0,7
0,3,1,1,1,3,1,2,9,0,4,6,3,3,2,2,2,2
0,3,2,2,4,3,1,4,0,0,3,8,2,2,7,3,6,7
0,4,1,3,3,4,1,1,4,1,1,12,3,2,1,0,0,0
0,4,1,1,4,3,1,3,1,0,2,1,2,3,1,0,0,0
0,4,2,3,4,2,3,3,0,0,2,10,2,3,9,1,8,7
0,3,1,3,3,3,2,3,6,0,2,17,3,2,7,7,7,7
0,3,1,3,1,4,1,2,0,0,3,6,5,3,5,0,3,4
0,3,1,2,4,2,2,3,0,1,4,10,3,3,9,0,8,5
0,3,1,1,1,3,1,3,1,0,4,5,1,2,5,4,3,2
0,3,1,2,2,3,1,4,0,0,3,3,2,3,2,1,2,2
1,3,1,3,3,2,1,3,5,1,2,6,4,3,4,0,3,2
0,3,1,4,2,4,3,1,1,0,3,10,1,3,10,8,8,9
0,3,1,2,1,4,1,2,0,1,4,7,5,2,6,0,5,2
0,3,0,2,4,4,1,4,1,1,2,1,2,2,1,0,0,0
0,3,1,4,1,2,4,4,2,0,3,31,3,3,25,3,7,8
0,3,1,3,4,3,1,4,5,1,3,6,3,3,3,1,2,2
0,3,0,2,1,4,2,3,0,0,4,5,5,2,4,1,3,2
1,4,1,4,3,2,1,1,7,0,2,10,4,3,5,0,3,3
0,3,1,4,1,3,3,2,0,0,3,13,4,3,12,2,11,6
0,3,1,2,3,3,1,4,1,0,4,0,6,3,0,0,0,0
1,3,1,1,2,3,1,1,2,0,3,8,2,3,4,1,3,2
0,3,1,3,3,3,5,3,4,0,4,26,3,2,14,4,8,13
1,4,2,1,2,1,1,1,1,1,2,10,5,3,10,6,7,2
0,3,1,4,3,3,2,2,0,0,4,10,2,3,9,4,2,7
0,3,1,4,1,2,3,4,3,0,4,24,4,3,22,5,17,6
0,3,1,4,2,3,5,1,3,0,4,22,2,2,2,2,1,2
0,3,1,3,3,3,1,4,4,0,4,7,3,3,1,0,0,1
0,3,1,4,4,3,2,4,2,1,4,9,5,4,4,1,3,2
0,3,1,2,4,2,1,3,1,0,1,10,5,3,10,1,8,0
1,3,1,3,4,3,2,4,3,0,3,19,6,4,1,0,0,0
1,3,1,3,2,3,1,4,2,1,1,6,2,2,2,2,0,0
0,3,1,2,4,4,1,3,1,0,4,6,3,2,5,1,4,3
1,3,1,2,1,2,1,3,1,1,3,3,2,3,3,0,2,2
0,3,1,3,4,3,1,4,1,0,1,2,3,3,2,2,2,2
0,3,1,4,2,2,1,1,9,1,4,6,3,4,1,0,0,1
0,3,2,3,3,4,2,1,2,0,1,10,3,3,5,1,3,3
0,3,1,2,3,3,1,4,1,0,3,1,3,3,1,0,0,0
0,3,1,4,4,3,1,1,1,0,4,1,6,3,1,0,0,0
1,3,1,3,1,1,1,3,1,0,3,1,2,2,1,0,1,0
0,3,2,3,4,3,3,3,1,0,4,9,0,3,9,1,7,8
0,4,2,2,3,3,2,4,1,0,4,12,2,3,12,3,7,8
1,3,1,3,2,3,5,3,1,0,4,23,0,3,22,15,8,15
0,4,0,4,2,3,2,3,0,0,3,10,2,3,9,8,7,5
0,4,1,2,2,3,1,2,4,0,1,8,1,3,1,0,0,0
0,4,2,4,1,3,2,4,4,1,3,14,4,3,9,0,8,6
0,3,1,1,4,4,1,4,1,0,4,1,2,3,1,0,1,0
1,3,1,2,1,2,3,3,9,1,4,23,2,3,1,0,0,0
1,3,1,4,3,3,1,3,1,1,3,2,3,2,2,2,2,2
0,4,1,5,2,3,2,1,5,1,3,9,2,2,4,1,3,3
0,3,0,2,3,2,3,1,2,1,3,10,3,3,4,2,3,0
0,3,1,3,3,2,2,4,7,1,3,5,2,2,2,0,0,2
0,3,2,2,1,3,3,4,1,1,3,15,1,3,15,8,12,14
0,4,2,5,2,3,3,1,1,0,4,9,3,2,9,1,8,8
0,3,1,4,3,3,1,1,3,1,3,4,3,3,2,2,2,2
0,4,1,4,4,3,2,4,3,0,4,10,3,2,7,1,7,7
0,3,1,4,1,2,2,3,1,0,3,7,2,4,7,0,7,5
0,4,1,3,1,3,2,4,1,1,2,9,3,3,9,7,8,8
0,3,2,5,4,3,2,4,1,0,4,10,2,3,10,9,9,3
0,3,1,2,2,2,5,3,5,1,4,29,2,2,27,13,8,3
0,3,1,3,1,3,3,1,7,0,4,28,3,2,21,7,9,16
0,3,1,3,3,3,3,3,1,0,2,17,2,3,17,12,8,14
0,3,1,3,4,3,4,3,2,1,3,21,2,3,5,0,2,0
0,3,2,3,2,2,2,2,1,0,3,6,3,3,6,0,3,5
0,3,1,3,2,3,3,1,2,0,3,25,2,3,1,0,0,0
0,3,2,3,2,3,1,1,4,0,4,5,2,2,3,1,2,2
1,3,1,3,4,2,1,3,0,1,1,2,0,2,1,0,0,0
